#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
1,USA,"99,681,448",,"1,098,387 ",,"97,251,592",,"1,331,469","2,570","297,730","3,281","1,132,648,806","3,383,008","334,805,269 ",North America,33050,,,"3,977",
2,India,"44,662,141",,"530,509 ",,"44,117,611",,"14,021",698,"31,751",377,"901,728,285","641,055","1,406,631,776 ",Asia,"312,6512",,,10,
3,France,"36,971,727",,"157,429 ",,"36,198,265",,"616,033",869,"563,726","2,400","271,490,188","4,139,547","65,584,518 ",Europe,24170,,,"9,393",
4,Germany,"35,884,834",,"154,785 ",,"34,630,700","+121,200","1,099,349","1,406","427,793","1,845","122,332,384","1,458,359","83,883,596 ",Europe,25421,,,"13,106",
5,Brazil,"34,897,510",,"688,444 ",,"34,085,759",,"123,307","8,318","162,047","3,197","63,776,166","296,146","215,353,593 ",South America,63133,,,573,
6,S. Korea,"25,919,183","+62,273","29,420 ",+30,"25,214,865","+24,691","674,898",360,"504,953",573,"15,804,065","307,892","51,329,899 ",Asia,"21,7453","1,213",0.6,"13,148",
7,UK,"23,930,041",,"194,704 ",,"23,602,927","+9,452","132,410",146,"349,354","2,842","522,526,476","7,628,357","68,497,907 ",Europe,33520,,,"1,933",
8,Italy,"23,642,011",,"179,436 ",,"23,037,464",,"425,111",238,"392,315","2,978","253,427,252","4,205,370","60,262,770 ",Europe,33360,,,"7,054",
9,Japan,"22,790,250","+81,401","47,139 ",+70,"20,528,109","+3,254","2,215,002",176,"181,473",375,"78,307,523","623,543","125,584,838 ",Asia,"62,6642",648,0.6,"17,637",
10,Russia,"21,472,591","+4,320","390,712 ",+63,"20,868,400","+8,123","213,479","2,300","147,268","2,680","273,400,000","1,875,095","145,805,947 ",Europe,73731,30,0.4,"1,464",
11,Turkey,"16,919,638",,"101,203 ",,"16,818,435",,0,,"197,747","1,183","162,743,369","1,902,052","85,561,976 ",Asia,58451,,,,
12,Spain,"13,529,643",,"115,239 ",,"13,313,832",,"100,572",339,"289,595","2,467","471,036,328","10,082,298","46,719,142 ",Europe,34050,,,"2,153",
13,Vietnam,"11,506,656",+442,"43,166 ",,"10,605,008",+227,"858,482",77,"116,283",436,"85,826,548","867,342","98,953,541 ",Asia,"92,2921",4,,"8,676",
14,Australia,"10,423,566","+2,709","15,792 ",+6,"10,364,130",,"43,644",44,"399,848",606,"78,835,048","3,024,116","26,068,792 ",Australia/Oceania,"31,6510",104,0.2,"1,674",
15,Argentina,"9,720,232",,"130,003 ",,"9,585,461",+268,"4,768",246,"211,262","2,826","35,716,069","776,264","46,010,234 ",South America,53541,,,104,
16,Netherlands,"8,521,729",,"22,845 ",,"8,433,681","+3,572","65,203",49,"495,120","1,327","21,107,399","1,226,358","17,211,447 ",Europe,27531,,,"3,788",
17,Taiwan,"7,929,052","+24,974","13,247 ",+15,"7,288,926","+44,564","626,879",,"331,918",555,"27,990,764","1,171,721","23,888,595 ",Asia,"31,8031","1,045",0.6,"26,242",
18,Iran,"7,558,593",+91,"144,604 ",+4,"7,333,291",+152,"80,698",92,"87,867","1,681","54,420,785","632,632","86,022,837 ",Asia,115952,1,0.05,938,
19,Mexico,"7,113,429",,"330,415 ",,"6,386,445",,"396,569","4,798","54,069","2,511","18,600,671","141,382","131,562,772 ",North America,183987,,,"3,014",
20,Indonesia,"6,531,721","+6,601","158,909 ",+38,"6,331,960","+3,197","40,852","2,771","23,400",569,"110,961,033","397,518","279,134,505 ",Asia,"431,7573",24,0.1,146,
21,Poland,"6,344,651",+746,"118,178 ",+8,"5,335,940",,"890,533","1,530","168,116","3,131","37,681,887","998,466","37,739,785 ",Europe,63191,20,0.2,"23,597",
22,Colombia,"6,310,332",,"141,850 ",,"6,138,353",,"30,129",342,"122,500","2,754","36,760,659","713,622","51,512,762 ",South America,83631,,,585,
23,Portugal,"5,527,261",,"25,312 ",,"5,477,025",,"24,924",61,"545,064","2,496","45,059,939","4,443,531","10,140,570 ",Europe,24010,,,"2,458",
24,Austria,"5,472,671","+3,779","21,049 ",,"5,408,281","+4,530","43,341",47,"603,601","2,322","200,720,764","22,138,214","9,066,710 ",Europe,24310,417,,"4,780",
25,Ukraine,"5,312,632",,"110,186 ",,"5,166,295","+2,865","36,151",,"123,000","2,551","32,603,805","754,855","43,192,122 ",Europe,83921,,,837,
26,Greece,"5,188,890",,"33,750 ",,"5,124,460","+7,670","30,680",115,"502,963","3,271","97,554,770","9,456,063","10,316,637 ",Europe,23060,,,"2,974",
27,Malaysia,"4,929,972",,"36,495 ",,"4,858,943",,"34,534",73,"148,578","1,100","65,661,881","1,978,896","33,181,072 ",Asia,79091,,,"1,041",
28,Chile,"4,799,221",,"61,853 ",,"4,717,260",,"20,108",117,"249,308","3,213","46,361,048","2,408,342","19,250,195 ",South America,43110,,,"1,045",
29,DPRK,"4,772,813",,74 ,,"4,772,739",,0,,"183,636",3,,,"25,990,679 ",Asia,"5351,225",,,,
30,Thailand,"4,695,207",,"32,995 ",,"4,649,509",,"12,703","1,496","67,000",471,"17,270,775","246,450","70,078,203 ",Asia,"152,1244",,,181,
31,Israel,"4,689,161",,"11,767 ",,"4,670,563",,"6,831",24,"502,805","1,262","41,373,364","4,436,346","9,326,000 ",Asia,27930,,,732,
32,Belgium,"4,619,721",,"32,959 ",,"4,540,250","+4,656","46,512",55,"395,921","2,825","35,982,406","3,083,780","11,668,278 ",Europe,33540,,,"3,986",
33,Canada,"4,357,478",,"46,710 ",,"4,233,772",,"76,996",99,"113,510","1,217","65,873,060","1,715,962","38,388,419 ",North America,98221,,,"2,006",
34,Switzerland,"4,235,222",,"14,275 ",,"4,122,963","+9,013","97,984",69,"482,721","1,627","22,724,091","2,590,042","8,773,637 ",Europe,26150,,,"11,168",
35,Czechia,"4,162,724",+922,"41,674 ",+4,"4,116,478",+260,"4,572",25,"387,707","3,881","56,514,825","5,263,664","10,736,784 ",Europe,32580,86,0.4,426,
36,Peru,"4,161,769",,"217,098 ",,"3,936,525",+790,"8,146",37,"123,553","6,445","35,851,406","1,064,339","33,684,208 ",South America,81551,,,242,
37,South Africa,"4,030,660",,"102,363 ",,"3,912,506",,"15,791",192,"66,342","1,685","26,473,049","435,726","60,756,135 ",Africa,155942,,,260,
38,Philippines,"4,011,026",,"64,291 ",,"3,929,981",,"16,754",124,"35,651",571,"33,323,944","296,189","112,508,994 ",Asia,"281,7503",,,149,
39,Romania,"3,290,030",+588,"67,217 ",+3,"3,216,444",+304,"6,369",93,"172,874","3,532","25,551,874","1,342,621","19,031,335 ",Europe,62831,31,0.2,335,
40,Denmark,"3,139,987",+415,"7,420 ",+7,"3,126,462",+895,"6,105",1,"538,134","1,272","128,688,022","22,054,691","5,834,950 ",Europe,27860,71,1,"1,046",
41,Sweden,"2,614,997",,"20,721 ",,"2,582,091",+400,"12,185",17,"255,896","2,028","19,071,994","1,866,332","10,218,971 ",Europe,44931,,,"1,192",
42,Iraq,"2,461,857",,"25,361 ",,"2,435,999",,497,21,"58,386",601,"19,377,732","459,570","42,164,965 ",Asia,"171,6632",,,12,
43,Serbia,"2,409,415",,"17,290 ",,"2,376,638",,"15,487",18,"278,448","1,998","11,433,890","1,321,376","8,653,016 ",Europe,45001,,,"1,790",
44,Hungary,"2,141,513",,"47,938 ",,"2,061,999",,"31,576",25,"222,929","4,990","11,394,556","1,186,160","9,606,259 ",Europe,42001,,,"3,287",
45,Singapore,"2,125,004",,"1,690 ",,"2,046,140",,"77,174",16,"357,531",284,"24,622,510","4,142,731","5,943,546 ",Asia,"33,5170",,,"12,985",
46,Bangladesh,"2,035,930",+48,"29,426 ",,"1,982,999",+256,"23,505","1,331","12,127",175,"15,024,644","89,493","167,885,689 ",Asia,"825,70511",0.3,,140,
47,Hong Kong,"1,957,542","+4,649","10,479 ",+4,"1,765,934","+3,524","181,129",9,"257,426","1,378","66,284,763","8,716,749","7,604,299 ",Asia,47260,611,0.5,"23,819",
48,New Zealand,"1,872,459",,"3,144 ",,"1,849,572",,"19,743",,"382,275",642,"7,544,063","1,540,170","4,898,203 ",Australia/Oceania,"31,5581",,,"4,031",
49,Slovakia,"1,853,706",+133,"20,645 ",+4,"1,830,898",+221,"2,163",32,"339,495","3,781","7,338,979","1,344,088","5,460,193 ",Europe,32641,24,0.7,396,
50,Georgia,"1,785,138",,"16,912 ",,"1,637,293",,"130,933",,"449,800","4,261","16,920,079","4,263,340","3,968,738 ",Asia,22350,,,"32,991",
51,Jordan,"1,746,997",,"14,122 ",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869 ",Asia,67291,,,181,
52,Ireland,"1,673,681",,"8,028 ",,"1,659,377",,"6,276",15,"333,389","1,599","12,797,540","2,549,210","5,020,199 ",Europe,36250,,,"1,250",
53,Pakistan,"1,574,432",+25,"30,627 ",,"1,538,689",,"5,116",53,"6,861",133,"30,570,862","133,213","229,488,994 ",Asia,"1467,4938",0.1,,22,
54,Norway,"1,465,824",,"4,238 ",,"1,459,720",,"1,866",20,"265,964",769,"11,002,430","1,996,315","5,511,370 ",Europe,"41,3001",,,339,
55,Kazakhstan,"1,395,047",+47,"13,693 ",+1,"1,380,356",,998,24,"72,640",713,"11,575,012","602,707","19,205,043 ",Asia,"141,4032",2,0.05,52,
56,Finland,"1,360,721",,"6,741 ",,"1,321,745","+1,835","32,235",21,"244,956","1,214","11,684,973","2,103,521","5,554,960 ",Europe,48240,,,"5,803",
57,Bulgaria,"1,281,924",,"37,931 ",,"1,234,418",,"9,575",65,"187,290","5,542","10,737,141","1,568,703","6,844,597 ",Europe,51801,,,"1,399",
58,Lithuania,"1,270,349",+529,"9,403 ",+1,"1,254,200",+735,"6,746",7,"477,268","3,533","10,230,481","3,843,578","2,661,708 ",Europe,22830,199,0.4,"2,534",
59,Morocco,"1,266,009",,"16,282 ",,"1,249,300",,427,293,"33,516",431,"12,683,401","335,782","37,772,756 ",Africa,"302,3203",,,11,
60,Croatia,"1,248,864",+229,"17,200 ",+6,"1,229,923",+204,"1,741",10,"307,656","4,237","5,321,532","1,310,953","4,059,286 ",Europe,32361,56,1,429,
61,Slovenia,"1,239,383","+1,153","6,903 ",+8,"1,221,411","+2,079","11,069",16,"596,421","3,322","2,771,640","1,333,780","2,078,034 ",Europe,23011,555,4,"5,327",
62,Lebanon,"1,219,141",,"10,713 ",,"1,087,587",,"120,841",74,"182,374","1,603","4,795,578","717,380","6,684,849 ",Asia,56241,,,"18,077",
63,Tunisia,"1,146,702",+109,"29,263 ",+2,N/A,N/A,N/A,44,"95,188","2,429","4,969,609","412,530","12,046,656 ",Africa,114122,9,0.2,617,
64,Guatemala,"1,142,589",,"19,907 ",,"1,121,599",,"1,083",5,"61,482","1,071","6,141,075","330,449","18,584,039 ",North America,169343,,,58,
65,Costa Rica,"1,138,416",,"9,009 ",,"860,711",,"268,696",52,"219,672","1,738","4,659,757","899,158","5,182,354 ",North America,55751,,,"51,848",
66,Cuba,"1,111,298",,"8,530 ",,"1,102,697",,71,23,"98,296",754,"14,184,566","1,254,644","11,305,652 ",North America,"101,3251",,,6,
67,Bolivia,"1,109,652",+39,"22,240 ",,"1,072,029",+511,"15,383",220,"92,528","1,854","2,705,422","225,590","11,992,656 ",South America,115394,3,,"1,283",
68,UAE,"1,039,867",+254,"2,348 ",,"1,018,947",+262,"18,572",,"103,143",233,"196,228,625","19,463,679","10,081,785 ",Asia,"104,2940",25,,"1,842",
69,Ecuador,"1,009,044",,"35,934 ",,"971,619",,"1,491",759,"55,707","1,984","3,082,403","170,173","18,113,361 ",South America,185046,,,82,
70,Nepal,"1,000,759",+10,"12,019 ",,"988,168",+15,572,,"33,110",398,"5,964,376","197,329","30,225,582 ",Asia,"302,5155",0.3,,19,
71,Belarus,"994,037",,"7,118 ",,"985,592",,"1,327",,"105,381",755,"13,646,641","1,446,722","9,432,800 ",Europe,"91,3251",,,141,
72,Panama,"991,251",,"8,509 ",,"981,602",,"1,140",16,"222,905","1,913","7,178,915","1,614,341","4,446,964 ",North America,45231,,,256,
73,Uruguay,"991,219",,"7,526 ",,"982,984",,709,18,"283,528","2,153","6,114,822","1,749,083","3,496,016 ",South America,44651,,,203,
74,Mongolia,"985,652",,"2,179 ",,"982,074",,"1,399",192,"291,779",645,"4,030,048","1,193,000","3,378,078 ",Asia,"31,5501",,,414,
75,Latvia,"955,436",+483,"6,067 ",+3,"943,208",+638,"6,161",3,"516,777","3,282","7,746,372","4,189,862","1,848,837 ",Europe,23050,261,2,"3,332",
76,Saudi Arabia,"824,003",+169,"9,423 ",+2,"810,523",+257,"4,057",83,"22,988",263,"44,687,206","1,246,682","35,844,909 ",Asia,"443,8041",5,0.06,113,
77,Azerbaijan,"823,577",+38,"9,957 ",,"813,354",+52,266,,"79,957",967,"7,336,115","712,230","10,300,205 ",Asia,"131,0341",4,,26,
78,Paraguay,"717,980",,"19,606 ",,"698,317",,57,7,"98,275","2,684","2,657,506","363,751","7,305,843 ",South America,103733,,,8,
79,Bahrain,"692,129",,"1,529 ",,"688,404",,"2,196",3,"387,968",857,"10,514,230","5,893,683","1,783,983 ",Asia,"31,1670",,,"1,231",
80,Sri Lanka,"671,334",,"16,782 ",,"654,443",,109,,"31,115",778,"6,486,117","300,619","21,575,842 ",Asia,"321,2863",,,5,
81,Kuwait,"662,359",,"2,569 ",,"659,512",,278,2,"151,212",586,"8,416,379","1,921,405","4,380,326 ",Asia,"71,7051",,,63,
82,Dominican Republic,"647,205",,"4,384 ",,"642,571",,250,4,"58,537",397,"3,657,057","330,765","11,056,370 ",North America,"172,5223",,,23,
83,Myanmar,"632,318",,"19,485 ",,"606,559",,"6,274",,"11,449",353,"9,474,745","171,560","55,227,143 ",Asia,"872,8346",,,114,
84,Palestine,"620,816",,"5,404 ",,"614,962",,450,17,"116,137","1,011","3,078,533","575,907","5,345,541 ",Asia,99892,,,84,
85,Estonia,"607,230",,"2,748 ",,"524,990",,"79,492",6,"459,358","2,079","3,579,101","2,707,522","1,321,910 ",Europe,24810,,,"60,134",
86,Cyprus,"602,662",,"1,200 ",,"592,342",,"9,120",60,"492,618",981,"9,640,118","7,879,860","1,223,387 ",Asia,"21,0190",,,"7,455",
87,Moldova,"593,816",,"11,894 ",,"504,142",,"77,780",49,"147,967","2,964","3,216,305","801,437","4,013,171 ",Europe,73371,,,"19,381",
88,Venezuela,"546,122",,"5,823 ",,"539,727",,572,36,"18,660",199,"3,359,014","114,771","29,266,991 ",South America,"545,0269",,,20,
89,Egypt,"515,645",,"24,613 ",,"442,182",,"48,850",122,"4,857",232,"3,693,367","34,792","106,156,692 ",Africa,"2064,31329",,,460,
90,Libya,"507,060",,"6,437 ",,"500,580",,43,,"72,018",914,"2,483,145","352,682","7,040,745 ",Africa,"141,0943",,,6,
91,Ethiopia,"494,086",,"7,572 ",,"472,155",,"14,359",,"4,090",63,"5,327,247","44,095","120,812,698 ",Africa,"24515,95523",,,119,
92,Réunion,"474,111",,899 ,,"418,572",,"54,640",10,"522,114",990,"1,603,660","1,766,027","908,061 ",Africa,"21,0101",,,"60,172",
93,Qatar,"472,226",+410,684 ,,"469,917",+366,"1,625",2,"158,470",230,"4,054,544","1,360,624","2,979,915 ",Asia,"64,3571",138,,545,
94,Honduras,"457,196",,"11,039 ",,N/A,N/A,N/A,105,"44,730","1,080","1,549,348","151,581","10,221,247 ",North America,229267,,,"30,682",
95,Armenia,"445,397",,"8,709 ",,"434,441",,"2,247",,"149,866","2,930","3,230,307","1,086,926","2,971,966 ",Asia,73411,,,756,
96,Bosnia and Herzegovina,"400,119",+29,"16,182 ",,"377,921",+19,"6,016",,"123,139","4,980","1,876,638","577,548","3,249,317 ",Europe,82012,9,,"1,851",
97,Oman,"398,775",,"4,260 ",,"384,669",,"9,846",2,"74,901",800,"25,000,000","4,695,724","5,323,993 ",Asia,"131,2500",,,"1,849",
98,North Macedonia,"344,146",,"9,564 ",,"334,335",,247,,"165,351","4,595","2,141,032","1,028,697","2,081,304 ",Europe,62181,,,119,
99,Kenya,"339,788",,"5,678 ",,"333,358",,752,1,"6,044",101,"3,924,756","69,817","56,215,221 ",Africa,"1659,90114",,,13,
100,Zambia,"333,685",,"4,017 ",,"329,652",,16,,"17,138",206,"3,750,980","192,652","19,470,234 ",Africa,"584,8475",,,0.8,
101,Albania,"333,058",,"3,592 ",,"327,871",,"1,595",,"116,195","1,253","1,941,032","677,173","2,866,374 ",Europe,97981,,,556,
102,Botswana,"326,344",,"2,790 ",,"322,955",,599,1,"133,684","1,143","2,026,898","830,300","2,441,162 ",Africa,78751,,,245,
103,Luxembourg,"297,757",,"1,133 ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,25670,,,"11,883",
